plot_id_needle,lat,long,year,month,vpdmax
FS_D5,39.34390447,-119.9219521,1895,,8.33100032806396
FS_D5,39.34390447,-119.9219521,1895,01,1.92299997806549
FS_D5,39.34390447,-119.9219521,1895,02,4.13899993896484
FS_D5,39.34390447,-119.9219521,1895,03,6.16499996185303
FS_D5,39.34390447,-119.9219521,1895,04,6.69500017166138
FS_D5,39.34390447,-119.9219521,1895,05,9.97399997711182
FS_D5,39.34390447,-119.9219521,1895,06,14.2119998931885
FS_D5,39.34390447,-119.9219521,1895,07,14.0179996490479
FS_D5,39.34390447,-119.9219521,1895,08,15.9300003051758
FS_D5,39.34390447,-119.9219521,1895,09,10.4399995803833
FS_D5,39.34390447,-119.9219521,1895,10,8.45699977874756
FS_D5,39.34390447,-119.9219521,1895,11,4.59100008010864
FS_D5,39.34390447,-119.9219521,1895,12,3.43099999427795
FS_D5,39.34390447,-119.9219521,1896,,7.25100040435791
FS_D5,39.34390447,-119.9219521,1896,01,3.42000007629395
FS_D5,39.34390447,-119.9219521,1896,02,5.1269998550415
FS_D5,39.34390447,-119.9219521,1896,03,4.66699981689453
FS_D5,39.34390447,-119.9219521,1896,04,3.46300005912781
FS_D5,39.34390447,-119.9219521,1896,05,2.70799994468689
FS_D5,39.34390447,-119.9219521,1896,06,11.7650003433228
FS_D5,39.34390447,-119.9219521,1896,07,13.8229999542236
FS_D5,39.34390447,-119.9219521,1896,08,13.9250001907349
FS_D5,39.34390447,-119.9219521,1896,09,10.1269998550415
FS_D5,39.34390447,-119.9219521,1896,10,9.76500034332275
FS_D5,39.34390447,-119.9219521,1896,11,3.82999992370605
FS_D5,39.34390447,-119.9219521,1896,12,4.39599990844727
FS_D5,39.34390447,-119.9219521,1897,,7.11400032043457
FS_D5,39.34390447,-119.9219521,1897,01,3.125
FS_D5,39.34390447,-119.9219521,1897,02,2.09899997711182
FS_D5,39.34390447,-119.9219521,1897,03,2.77900004386902
FS_D5,39.34390447,-119.9219521,1897,04,6.33099985122681
FS_D5,39.34390447,-119.9219521,1897,05,9.30399990081787
FS_D5,39.34390447,-119.9219521,1897,06,8.85200023651123
FS_D5,39.34390447,-119.9219521,1897,07,13.831000328064
FS_D5,39.34390447,-119.9219521,1897,08,15.9860000610352
FS_D5,39.34390447,-119.9219521,1897,09,9.47500038146973
FS_D5,39.34390447,-119.9219521,1897,10,5.5939998626709
FS_D5,39.34390447,-119.9219521,1897,11,4.7189998626709
FS_D5,39.34390447,-119.9219521,1897,12,3.28399991989136
FS_D5,39.34390447,-119.9219521,1898,,8.31300067901611
FS_D5,39.34390447,-119.9219521,1898,01,2.6010000705719
FS_D5,39.34390447,-119.9219521,1898,02,3.7409999370575
FS_D5,39.34390447,-119.9219521,1898,03,4.27199983596802
FS_D5,39.34390447,-119.9219521,1898,04,7.61299991607666
FS_D5,39.34390447,-119.9219521,1898,05,5.10900020599365
FS_D5,39.34390447,-119.9219521,1898,06,10.6969995498657
FS_D5,39.34390447,-119.9219521,1898,07,16.9160003662109
FS_D5,39.34390447,-119.9219521,1898,08,20.5830001831055
FS_D5,39.34390447,-119.9219521,1898,09,12.3009996414185
FS_D5,39.34390447,-119.9219521,1898,10,7.62400007247925
FS_D5,39.34390447,-119.9219521,1898,11,4.96400022506714
FS_D5,39.34390447,-119.9219521,1898,12,3.34599995613098
FS_D5,39.34390447,-119.9219521,1899,,7.55300045013428
FS_D5,39.34390447,-119.9219521,1899,01,3.31299996376038
FS_D5,39.34390447,-119.9219521,1899,02,3.81299996376038
FS_D5,39.34390447,-119.9219521,1899,03,4.21400022506714
FS_D5,39.34390447,-119.9219521,1899,04,6.32299995422363
FS_D5,39.34390447,-119.9219521,1899,05,5.47399997711182
